,elo_diff,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage
elo_diff,1.0,0.9656078703138014,0.3245411082629261,0.9632866756969365,0.9607616695242911,0.9724269346650457,0.46579962146637527,0.6325188057993234,0.439980050851057,-0.007681870251874612,-0.03862914359660359,0.05642332371399562,0.028539904298836377
bt_logit,0.9656078703138014,1.0,0.21834280998124445,0.9986427687008961,0.9625638397070065,0.9262666256718219,0.5205994946227998,0.5913248553346896,0.41866538095351136,-0.025136116087298675,-0.06620210500503819,0.028946449954331915,0.021073411999182223
trend_diff,0.3245411082629261,0.21834280998124445,1.0,0.2154532874210391,0.21727711305779257,0.38955521609057947,0.18094904729351602,0.16585276530576396,0.16735560057082793,0.023802060658731777,0.020110086914744217,0.10041223655003298,0.045749120590906696
record_logit_diff,0.9632866756969365,0.9986427687008961,0.2154532874210391,1.0,0.9643870352996459,0.9271833254264968,0.5238522198482684,0.5916814650344606,0.41984991914431613,-0.0265432732681528,-0.06899830039716018,0.024625230676401714,0.023191081278554706
cumulative_margin_diff,0.9607616695242911,0.9625638397070065,0.21727711305779257,0.9643870352996459,1.0,0.9689806267357598,0.5192680801172275,0.6370118540158815,0.4453110614988464,-0.017731539385505885,-0.05783917392592709,0.035921006914477194,0.01977961884043882
recent_margin_diff,0.9724269346650457,0.9262666256718219,0.38955521609057947,0.9271833254264968,0.9689806267357598,1.0,0.4877051113769924,0.6458932272061986,0.44140815693678404,-0.0027614491043203857,-0.03091814614495188,0.060308298102929474,0.027387241433580196
turnover_advantage_diff,0.46579962146637527,0.5205994946227998,0.18094904729351602,0.5238522198482684,0.5192680801172275,0.4877051113769924,1.0,-0.162952385504471,0.04277749899669975,0.08698044396055911,0.022102924907019265,0.07081271969734879,0.1040353305451712
rebound_advantage_diff,0.6325188057993234,0.5913248553346896,0.16585276530576396,0.5916814650344606,0.6370118540158815,0.6458932272061986,-0.162952385504471,1.0,0.44632328057546716,-0.07820679026892118,-0.05833031865486055,-0.01221776318167618,-0.06228013358125646
foul_advantage_diff,0.439980050851057,0.41866538095351136,0.16735560057082793,0.41984991914431613,0.4453110614988464,0.44140815693678404,0.04277749899669975,0.44632328057546716,1.0,-0.08633861071973054,-0.09118556512544206,-0.046035126119258946,-0.11763143510800828
rest_advantage,-0.007681870251874612,-0.025136116087298675,0.023802060658731777,-0.0265432732681528,-0.017731539385505885,-0.0027614491043203857,0.08698044396055911,-0.07820679026892118,-0.08633861071973054,1.0,0.7455116548723455,0.5857796858055926,0.5042923274295927
back_to_back_advantage,-0.03862914359660359,-0.06620210500503819,0.020110086914744217,-0.06899830039716018,-0.05783917392592709,-0.03091814614495188,0.022102924907019265,-0.05833031865486055,-0.09118556512544206,0.7455116548723455,1.0,0.519416989070693,0.31066464905354657
games_in_4_days_advantage,0.05642332371399562,0.028946449954331915,0.10041223655003298,0.024625230676401714,0.035921006914477194,0.060308298102929474,0.07081271969734879,-0.01221776318167618,-0.046035126119258946,0.5857796858055926,0.519416989070693,1.0,0.596467294737667
games_in_6_days_advantage,0.028539904298836377,0.021073411999182223,0.045749120590906696,0.023191081278554706,0.01977961884043882,0.027387241433580196,0.1040353305451712,-0.06228013358125646,-0.11763143510800828,0.5042923274295927,0.31066464905354657,0.596467294737667,1.0
